"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000006756",-0.256713284423826,4.39775500653443,3.03322987626517,0.394138313851213,1,"ARSD"
"ENSG00000006831",-0.0516996915043376,6.4398034099558,0.222993859708559,0.681994672792032,1,"ADIPOR2"
"ENSG00000007047",-0.144733086909413,5.33884867764252,1.50035192212151,0.437453215137895,1,"MARK4"
"ENSG00000007080",-0.0399028598796763,4.31400510596838,0.0568131888387469,0.893059900628174,1,"CCDC124"
"ENSG00000007129",0.0618371301168057,3.68050954146256,0.073375873872765,0.874206604280573,1,"CEACAM21"
"ENSG00000007168",-0.0544327462572323,8.40496153199282,0.740610392061533,0.398525120721256,1,"PAFAH1B1"
"ENSG00000007202",0.0506801930264829,8.27882584744333,0.456895590646371,0.505953539530707,1,"KIAA0100"
"ENSG00000007237",0.154912117720919,8.3656412879097,2.5099627471247,0.127056384282601,1,"GAS7"
"ENSG00000007255",-0.230762016149778,3.47857438265999,0.408784911749789,0.570661680394767,1,"TRAPPC6A"
"ENSG00000007264",0.0349824106445871,5.86396196095936,0.0389048799138446,0.84540462864013,1,"MATK"
"ENSG00000007312",0.200501978488632,4.73388291562826,0.907620907945563,0.407168376610754,1,"CD79B"
"ENSG00000007341",-0.285113463699152,4.00490652573046,2.61774277302443,0.398476460615782,1,"ST7L"
"ENSG00000007350",0.217362300756982,3.12649914366368,1.19136319272085,0.568914327540824,1,"TKTL1"
"ENSG00000007376",0.101119889617339,4.70383877822487,0.165715117631002,0.687787378675291,1,"RPUSD1"
"ENSG00000007392",0.028823203116046,7.1287391679277,0.147931275520631,0.764095129343312,1,"LUC7L"
"ENSG00000007402",0.330405272745207,4.14581622787645,6.32092831999799,0.0923703749061417,1,"CACNA2D2"
"ENSG00000007516",-0.0697832452541378,4.60605120540847,0.107225694653356,0.77346335469041,1,"BAIAP3"
"ENSG00000007520",0.172154536200214,4.30965945442594,0.3398774848758,0.56568624844578,1,"TSR3"
"ENSG00000007541",-0.027064550806026,5.68770588843128,0.0167740728849441,0.898098884395089,1,"PIGQ"
"ENSG00000007545",0.0747490548888359,6.51906976801462,0.350514198452397,0.559713182373632,1,"CRAMP1"
"ENSG00000007923",-0.0842499022762385,5.64315472848528,0.359485769074687,0.623372012885735,1,"DNAJC11"
"ENSG00000007944",0.0892647227582704,5.9251324482772,0.885937133288515,0.523381480729912,1,"MYLIP"
"ENSG00000008018",-0.0257413585435575,6.09373832062231,0.0600045443321071,0.856639298584346,1,"PSMB1"
"ENSG00000008083",0.0406231006509103,7.16727815140521,0.380014804669728,0.608791351481419,1,"JARID2"
"ENSG00000008086",-0.235586303704364,4.3608145496949,3.48334176944209,0.347170109946527,1,"CDKL5"
"ENSG00000008128",0.164866823742902,6.08538322403558,0.833856026659046,0.370822158886571,1,"CDK11A"
"ENSG00000008130",0.0462203403146982,6.59472933491847,0.0794314608371226,0.780640175361066,1,"NADK"
"ENSG00000008226",-0.133291183000343,3.93905848670115,0.546501388991138,0.70360204577119,1,"DLEC1"
"ENSG00000008256",0.162593810404958,4.9946081916883,2.08725155895728,0.425916052061572,1,"CYTH3"
"ENSG00000008277",-0.073961149033633,4.08432771307117,0.0976204637730353,0.82163730294637,1,"ADAM22"
"ENSG00000008282",0.0546516800632293,5.38546493967087,0.054499070945307,0.817518317293052,1,"SYPL1"
"ENSG00000008283",0.172482698779078,5.27096172574425,1.4264892726229,0.391086054328705,1,"CYB561"
"ENSG00000008294",-0.0938976838498881,7.74861055706652,1.73048486812158,0.20771764769267,1,"SPAG9"
"ENSG00000008300",0.246832732639495,3.90296203262345,1.40602038603525,0.475565697221881,1,"CELSR3"
"ENSG00000008311",-0.12277614376492,4.08346656490615,0.472723349995353,0.680671899136403,1,"AASS"
"ENSG00000008324",0.136034477217299,3.86899584167169,0.863938830527224,0.674253862456745,1,"SS18L2"
"ENSG00000008382",0.012763691937224,3.75813867257682,0.00161936790723066,0.974929441652735,1,"MPND"
"ENSG00000008394",-0.414374677392977,4.23225947167998,1.61344418960446,0.297465253923727,1,"MGST1"
"ENSG00000008405",0.177305086717836,5.34004343039369,4.58657855883869,0.309648237554966,1,"CRY1"
"ENSG00000008513",0.0926806553723351,8.35032448711313,1.33476977815283,0.260056339367665,1,"ST3GAL1"
"ENSG00000008516",-0.366032546461195,3.02416462928574,1.63028949389049,0.456658199793466,1,"MMP25"
"ENSG00000008517",0.0805329318990856,7.39025705703941,0.195621156376459,0.662492671345155,1,"IL32"
"ENSG00000008710",0.0695911242872329,7.64601105739163,0.156163107981632,0.696428012179773,1,"PKD1"
"ENSG00000008838",0.0991058451080517,6.07252309623211,0.475789255315835,0.499900176052417,1,"MED24"
"ENSG00000008853",-0.214304741596583,4.2006525808713,0.962894178877651,0.489721614943596,1,"RHOBTB2"
"ENSG00000008869",0.0159429648113215,7.14618559756577,0.0310674617193443,0.865782750652477,1,"HEATR5B"
"ENSG00000008952",0.0175770246688247,7.44374704914211,0.0139710505057378,0.906956603388751,1,"SEC62"
"ENSG00000008988",-0.0705371659082687,8.73842141035044,0.406594784710295,0.53012617832378,1,"RPS20"
"ENSG00000009307",0.00614587101459045,9.02669816614436,0.0101429623753924,0.920669127571901,1,"CSDE1"
"ENSG00000009335",0.0580952300545269,7.15038715977661,0.526409448567222,0.552580726856336,1,"UBE3C"
"ENSG00000009413",0.0880761288724688,7.04233923927259,0.53079372830249,0.473773642450485,1,"REV3L"
"ENSG00000009694",0.163841395643762,4.54288186278897,0.960996446318415,0.562125959379181,1,"TENM1"
"ENSG00000009780",0.0710073236350659,4.71335495335669,0.223483923657025,0.772884181851476,1,"FAM76A"
"ENSG00000009790",0.0477427814283967,8.24947625287345,0.364278912875306,0.552164002600344,1,"TRAF3IP3"
"ENSG00000009830",-0.266688307074439,4.36905422474689,1.83118624096284,0.383774420822527,1,"POMT2"
"ENSG00000009844",-0.00843705550913541,5.37150271638013,0.00172579257477739,0.967228993995055,1,"VTA1"
"ENSG00000009954",0.0416862300759811,7.66872789396618,0.197862042428708,0.660693194078409,1,"BAZ1B"
"ENSG00000010017",0.0802530941156522,6.27321409780603,0.47189642524701,0.549965893993881,1,"RANBP9"
"ENSG00000010072",-0.071983482744537,4.49615912100972,0.205635896030078,0.770308851228103,1,"SPRTN"
"ENSG00000010165",-0.0537066124771339,5.31231182344395,0.114973980715185,0.787227324879316,1,"METTL13"
"ENSG00000010244",-0.0891797498487536,9.14755876477663,0.661526276640426,0.424528254173831,1,"ZNF207"
"ENSG00000010256",0.25409259843587,6.10976745346374,1.82083196003257,0.190610031285974,1,"UQCRC1"
"ENSG00000010270",-0.0483487439947582,4.8903212107877,0.115214546485376,0.826008794508836,1,"STARD3NL"
"ENSG00000010278",-0.534955471372973,4.95504778603586,3.19424170737426,0.126318838889191,1,"CD9"
"ENSG00000010292",0.0833699540386214,6.54095881015643,0.452004414152674,0.521499342739874,1,"NCAPD2"
"ENSG00000010295",-0.021194665343507,6.84343954428158,0.0166281633848491,0.898540476913552,1,"IFFO1"
"ENSG00000010310",0.1234135406758,4.10881011018715,0.426887027904086,0.658647880050284,1,"GIPR"
"ENSG00000010318",-0.122613763022436,3.48453937674112,0.227586738791861,0.779591007813957,1,"PHF7"
"ENSG00000010322",-0.00563777567907429,8.36488904261111,0.00175683992652515,0.966935708154738,1,"NISCH"
"ENSG00000010327",-0.14989249154389,9.9410369600593,0.764855680823707,0.391034618793518,1,"STAB1"
"ENSG00000010361",-0.203486153060069,3.52440732119204,0.485372324406336,0.640518862220662,1,"FUZ"
"ENSG00000010404",-0.0596082018680317,8.61255166727867,0.273070665035136,0.606376785225561,1,"IDS"
"ENSG00000010539",-0.0345826963380824,5.14872039645123,0.131479071484679,0.863247657612058,1,"ZNF200"
"ENSG00000010610",0.070992376058977,7.63134638864116,0.453735412182716,0.507413782683341,1,"CD4"
"ENSG00000010626",0.35556196384648,3.07917361018217,0.988336247221655,0.579051057956211,1,"LRRC23"
"ENSG00000010671",-0.102526929110822,5.56469464695246,0.675417036476232,0.59438551636082,1,"BTK"
"ENSG00000010704",0.611078248889332,3.37200048540642,2.73745519625174,0.27775540030468,1,"HFE"
"ENSG00000010803",0.160678652284766,4.22494912597757,0.998237445109318,0.590143735787251,1,"SCMH1"
"ENSG00000010810",0.0509276624339442,9.32388638724541,0.828806885148033,0.372248724275478,1,"FYN"
"ENSG00000010818",0.122957906396981,8.32533958757662,2.18311787518754,0.153365779462337,1,"HIVEP2"
"ENSG00000011007",0.11162215466063,6.34517852232741,1.71959114976984,0.419245447361502,1,"ELOA"
"ENSG00000011009",0.131157026879474,5.20748495356997,0.711545067633813,0.505380661754222,1,"LYPLA2"
"ENSG00000011021",0.00693669148136677,5.88954581474621,0.00330831419061855,0.969685837670209,1,"CLCN6"
"ENSG00000011028",0.0826460454197388,4.02887762583229,0.0569770624836889,0.860077412730244,1,"MRC2"
"ENSG00000011114",-0.121895464082559,6.46808610595582,1.08532007245101,0.34570906232371,1,"BTBD7"
"ENSG00000011132",0.0253192263500018,6.02566934119871,0.0362916605193174,0.857666624208841,1,"APBA3"
"ENSG00000011143",-0.0307789808154754,4.27533501390592,0.0461939429242832,0.912501335016281,1,"MKS1"
"ENSG00000011198",0.0367779437660181,4.51318900309093,0.0486213300542084,0.887150075817416,1,"ABHD5"
