target_id	length	eff_length	est_counts	tpm
	209	110	0	0
	630	531	0	0
	579	480	0	0
	604	505	0	0
	5708	5609	10.2064	0.110389
	5548	5449	14.4308	0.160662
	2270	2171	1.3844	0.0386847
	1629	1530	0	0
	520	421	0	0
	568	469	0	0
	340	241	0	0
	4392	4293	845.736	11.9512
	706	607	0	0
	735	636	39.7058	3.78735
	619	520	1.55818	0.181782
	2096	1997	48.0687	1.46023
	813	714	0	0
	2173	2074	0	0
	2148	2049	0	0
	2125	2026	0	0
	2179	2080	0	0
	2173	2074	0	0
	2131	2032	0	0
	1904	1805	0	0
	591	492	0	0
	626	527	1.42977	0.164586
	574	475	1	0.127716
	457	358	0	0
	593	494	0	0
	477	378	0	0
	813	714	2.57023	0.21838
	3009	2910	509.625	10.6242
	888	789	0	0
	571	472	0	0
	254	155	0	0
	570	471	79.7084	10.2665
	3070	2971	1111.22	22.69
	561	462	0	0
	569	470	0	0
	1315	1216	98.536	4.91587
	2717	2618	47.6703	1.10463
	590	491	0	0
	730	631	4.53297e-07	4.35805e-08
	502	403	0	0
	575	476	0	0
	574	475	0	0
	540	441	0	0
	465	366	1.13791	0.18861
	572	473	0	0
	330	231	2.89697	0.760802
	4835	4736	1876.68	24.039
	1245	1146	128.209	6.78693
	577	478	65.4881	8.31138
	571	472	0	0
	558	459	2.77845	0.367222
	4770	4671	79.1518	1.02799
	2246	2147	0	0
	3001	2902	0	0
	3830	3731	96.7343	1.57287
	633	534	2.26568	0.257393
	1015	916	0	0
	922	823	0	0
	575	476	0.147371	0.0187821
	654	555	0	0
	608	509	0	0
	353	254	80.4044	19.2037
	3542	3443	0	0
	3573	3474	0	0
	3507	3408	0	0
	3504	3405	0	0
	4753	4654	75	0.977628
	398	299	0	0
	609	510	0	0
	1063	964	0	0
	1432	1333	1.3593	0.0618618
	628	529	0	0
	2431	2332	0	0
	608	509	0	0
	830	731	0	0
	654	555	0	0
	876	777	0	0
	762	663	0	0
	754	655	0	0
	828	729	0	0
	537	438	0	0
	2178	2079	0	0
	180	81	52.9717	39.6732
	2014	1915	371.286	11.7619
	9446	9347	2165.97	14.0578
	1610	1511	861.507	34.5886
	1926	1827	1065.61	35.3834
	462	363	4.35955	0.728574
	859	760	4.0266	0.321413
	1860	1761	0	0
	1810	1711	0	0
	1581	1482	0	0
	1850	1751	0	0
	1632	1533	43.3094	1.71387
	1441	1342	37.8232	1.70979
	946	847	29.6853	2.12616
	1085	986	304.883	18.7584
	2579	2480	552.69	13.5197
	935	836	0	0
	727	628	108.109	10.4433
	489	390	0	0
	2577	2478	2694.16	65.957
	1085	986	1316.83	81.0198
	687	588	7.44793	0.768417
	694	595	15.6	1.59054
	520	421	10.518	1.51562
	289	190	5.96802	1.90553
	779	680	61.1951	5.45942
	753	654	144.27	13.3824
	1843	1744	431.892	15.0234
	1880	1781	0	0
	979	880	4869.03	335.659
	1254	1155	247.079	12.9775
	726	627	1716.48	166.077
	435	336	640.504	115.644
	9640	9541	22.2631	0.141556
	10433	10334	0	0
	10511	10412	6079.29	35.4207
	3088	2989	2068.21	41.9766
	586	487	11.1744	1.39198
	558	459	1.52306	0.201299
	576	477	0	0
	2865	2766	1133.2	24.8538
	506	407	0	0
	915	816	21.412	1.59186
	865	766	3.3902	0.268495
	244	145	0	0
	6434	6335	86.0831	0.824346
	681	582	0	0
	923	824	0	0
	693	594	113.932	11.6358
	2944	2845	33.8177	0.721109
	528	429	604.242	85.4461
	970	871	305.07	21.2481
	2139	2040	1042.71	31.0078
	2136	2037	24.8027	0.738662
	2125	2026	0	0
	1964	1865	1.04819	0.0340958
	2123	2024	0	0
	1948	1849	540.392	17.7301
	2183	2084	1.9659e-07	5.72272e-09
	2519	2420	26.3364	0.660205
	2492	2393	0	0
	753	654	0.0138241	0.00128232
	748	649	9.94652	0.929748
	643	544	1.75235	0.195416
	5684	5585	0	0
	2497	2398	0	0
	849	750	0	0
	274	175	8.01997	2.78018
	5676	5577	0	0
	1797	1698	41.8566	1.49543
	2136	2037	0	0
	2460	2361	0	0
	4276	4177	246.699	3.58296
	535	436	0	0
	3859	3760	25.4622	0.410815
	2814	2715	0	0
	517	418	0	0
	856	757	0	0
	3592	3493	823.971	14.3104
	390	291	0	0
	317	218	0	0
	865	766	2.00813	0.159039
	577	478	1.28459	0.163034
	4079	3980	81.2851	1.23899
	687	588	0	0
	3617	3518	270.989	4.67299
	459	360	0	0
	2957	2858	0	0
	972	873	0	0
	2370	2271	0	0
	3493	3394	0	0
	3308	3209	0	0
	389	290	0.404314	0.0845783
	3310	3211	6.59569	0.124612
	2101	2002	0	0
	3146	3047	1493	29.7253
	1306	1207	0	0
	594	495	0	0
	2162	2063	0	0
	1926	1827	0	0
	3130	3031	11.0505	0.221174
	1881	1782	4.50314	0.153301
	2330	2231	0	0
	2168	2069	0	0
	592	493	0.088475	0.0108871
	524	425	0	0
	930	831	0	0
	591	492	1.35789	0.167432
	508	409	0	0
	1280	1181	732	37.601
	1065	966	0	0
	662	563	0	0
	653	554	0	0
	628	529	9.69516	1.11183
	821	722	338.999	28.4839
	530	431	0	0
	725	626	3.28351	0.318202
	728	629	0	0
	759	660	0	0
	771	672	7.9066	0.713771
	799	700	0	0
	2776	2677	3.66616	0.0830809
	576	477	0	0
	1221	1122	0	0
	1355	1256	40.7804	1.9697
	1725	1626	35.5675	1.327
	569	470	17.1588	2.21476
	1119	1020	0	0
	1275	1176	304.376	15.7015
	1085	986	0	0
	1280	1181	83.6621	4.29752
	2444	2345	19.6368	0.508003
	1786	1687	20.4834	0.736591
	2118	2019	0	0
	1334	1235	0	0
	973	874	35.3932	2.45667
	1962	1863	0	0
	418	319	38.3734	7.29757
	1882	1783	48.8264	1.66128
	12847	12748	306.849	1.46023
	4562	4463	279.947	3.80529
	655	556	4.20384	0.458681
	940	841	3.65628e-05	2.63744e-06
	932	833	14	1.01958
	927	828	0	0
	1088	989	0	0
	1227	1128	0	0
	4695	4596	0	0
	4735	4636	0	0
	5127	5028	0	0
	5250	5151	39.9409	0.470397
	602	503	0	0
	2345	2246	3.14673e-05	8.49939e-07
	2277	2178	0	0
	1911	1812	3.82309	0.127995
	766	667	0	0
	490	391	0	0
	4430	4331	3.23601	0.0453273
	5826	5727	160.235	1.69734
	5319	5220	12.0174	0.139662
	6255	6156	20.7148	0.204136
	2514	2415	0	0
	801	702	8.30765	0.717926
	1741	1642	13.55	0.500615
	622	523	2.74425	0.318317
	658	559	0	0
	715	616	0	0
	1444	1345	22.4312	1.01174
	1617	1518	0	0
	782	683	0	0
	469	370	0	0
	2588	2489	0	0
	3092	2993	0	0
	12836	12737	0	0
	3129	3030	0	0
	3908	3809	508.378	8.09682
	4314	4215	32.2712	0.464469
	3134	3035	16.2307	0.324426
	2403	2304	38.3591	1.01001
	12317	12218	1549.15	7.69188
	4122	4023	187.989	2.8348
	4004	3905	703.697	10.9321
	509	410	36.3669	5.38098
	3775	3676	1057.72	17.4556
	1057	958	216.227	13.6925
	1664	1565	344.676	13.3609
	4094	3995	153.188	2.32619
	1206	1107	127.826	7.00503
	2151	2052	78.6009	2.32375
	631	532	0	0
	836	737	10.1513	0.835587
	577	478	0	0
	687	588	37.2015	3.83815
	838	739	0	0
	642	543	25.5824	2.85812
	1378	1279	52.7404	2.50157
	5499	5400	404.563	4.54497
	2221	2122	0	0
	1869	1770	15.5238	0.532064
	1382	1283	58.2257	2.75313
	1323	1224	2.27008	0.112512
	580	481	0	0
	726	627	3.08304	0.298298
	5881	5782	54.6759	0.573663
	755	656	0	0
	774	675	1.0316	0.0927143
	815	716	3.06913	0.260041
	642	543	3.22336	0.36012
	5310	5211	874.326	10.1787
	959	860	1.77978	0.125547
	307	208	0	0
	1262	1163	2.73401	0.142613
	1211	1112	46.4216	2.53253
	1678	1579	3.29908	0.126751
	2145	2046	40.4397	1.19906
	1552	1453	984.06	41.0861
	1608	1509	73.4329	2.95216
	1486	1387	0	0
	1455	1356	11.6456	0.521002
	2118	2019	0.792742	0.0238196
	1244	1145	24.8432	1.31626
	1013	914	0	0
	649	550	0	0
	564	465	3.98621	0.52005
	933	834	0	0
	576	477	0	0
	558	459	3.3265	0.439656
	1242	1143	0	0
	737	638	0	0
	864	765	0	0
	1118	1019	29.2696	1.74253
	1132	1033	14.9118	0.875727
	3119	3020	64.6391	1.29846
	1687	1588	0	0
	482	383	0	0
	1538	1439	157.865	6.65525
	13400	13301	138.021	0.629505
	1542	1443	1.26705	0.053268
	1851	1752	10.4006	0.360132
	669	570	0	0
