"","logFC","logCPM","F","PValue","FDR","gene_symbol"
"ENSG00000011021",0.0361725874210036,6.22313280507436,0.120292993327665,0.732795038566019,1,"CLCN6"
"ENSG00000011028",0.0507748580539862,8.57467569216276,0.510845832600461,0.484068361858126,1,"MRC2"
"ENSG00000011052",-0.0246958157235535,5.13733804498944,0.0164863698035922,0.899276689625675,1,"NME1-NME2"
"ENSG00000011114",-0.0488146329438734,6.10497497328911,0.34236935305891,0.565830008512908,1,"BTBD7"
"ENSG00000011132",-0.241249616136284,4.01698845774046,1.77799342238919,0.199257317946388,1,"APBA3"
"ENSG00000011143",0.06000333347185,3.72579867410303,0.304231775357557,0.588119156915059,1,"MKS1"
"ENSG00000011198",0.047457318607781,3.52458980543963,0.113678082649933,0.73994913938277,1,"ABHD5"
"ENSG00000011201",-0.0440168070050242,4.37435048276376,0.127249493428431,0.725506646714605,1,"ANOS1"
"ENSG00000011243",0.0152848440658317,6.46969209468615,0.0277419262098204,0.869599730431748,1,"AKAP8L"
"ENSG00000011258",-0.0657068984902334,5.4905746432457,0.410895231754679,0.52970597640862,1,"MBTD1"
"ENSG00000011260",0.0574880339716663,5.56216727357756,0.402800752502711,0.533742490053185,1,"UTP18"
"ENSG00000011275",-0.0117283436089982,6.4655018285949,0.0194198681178831,0.890738535917171,1,"RNF216"
"ENSG00000011295",0.0475017458398928,4.36780686278572,0.263420425703795,0.614109204835805,1,"TTC19"
"ENSG00000011304",0.035372249937754,8.8297560922953,0.0751117640938654,0.787198549048348,1,"PTBP1"
"ENSG00000011332",-0.264402152536528,-0.496431850854078,0.547102150103139,0.469175002078168,1,"DPF1"
"ENSG00000011376",-0.0199417219718765,4.5201517095037,0.0317501272349638,0.860595100946725,1,"LARS2"
"ENSG00000011405",0.0968410127885275,5.35186551153368,0.437666780066752,0.516747934327974,1,"PIK3C2A"
"ENSG00000011422",0.0189641346198959,5.12955957004131,0.0320319558102847,0.859984666082291,1,"PLAUR"
"ENSG00000011426",-0.036133335638629,6.82839872220454,0.209387361161993,0.652799768213194,1,"ANLN"
"ENSG00000011451",-0.105997219562331,5.76254083159257,1.3409843206888,0.26220577266647,1,"WIZ"
"ENSG00000011454",-0.00568911208828855,4.56945702577295,0.002326661772369,0.962067193057685,1,"RABGAP1"
"ENSG00000011478",-0.143660477915062,4.83187990778407,2.01607447149656,0.172967386244651,1,"QPCTL"
"ENSG00000011485",0.0250357100448363,6.03535514689788,0.0653305239259994,0.801199510695763,1,"PPP5C"
